sentence,sentiment
"거나, 판매할 수 없다면 그 내용을 알려줘야 구매자가 빨리 구매처 변경이나 구매 취소 조치를 할 수 있지 않를 가요?",p
웜 화이트 주문지대로 한 건지 새벽이라 지난번 50구 100구 완전 넘 좋더라구요 이 새벽에 건전지용 웜 화이트 30구 10개 주문이요 웜 화이트가 누런 불들어오는 거 맞죠?,p
저희 제품이 맘에 드신다니 저희도 기쁩니다. 좋은 날 행복하세요.,p
저번에 마음에 들어 재주문합니다.가로 300세로 243으로 주문해요레일은 12자로 주문했는데 맞는 거겠죠?,p
상품 마음에 들어 해주셔서 감사합니다. 또한 재구매 감사드려요 레일 12자 맞습니다.,p
다 이뻐요 사이즈도 크고,p
크니까 더 좋아요  부드럽고,p
와 너무 부드럽고 좋네요,p
네. 어우 예뻐요,p
이것도 아까 그것처럼 촉감이 너무 좋은데요?,p
너무 멋스러워요. 아주 잠도 잘 오겠는데요?,p
어우 너무 예뻐요,p
오호 색상이 다 예뻐요,p
네. 분위기 끝내주네요,p
저희 감동샵은 최대한 당일 발송을 원칙으로 하고 있으며 주문이 폭주하거나 기온이 많이 낮아질 시에 조금 늦춰질 수 있는 점 양해 부탁드립니다.,p
그래요? 좋다,p
저번에 슈퍼싱글산 게맘에 들어서 퀸도 삿는 데 싱글은 매끈하게 탄탄한데 퀸은 올록볼록 되어 있는데 퀸이랑 싱글이랑 다른 건가요?,p
검수할라고 맞교환 안해준거에요?,p
너무 이쁘네요,p
상품받자마자 만족하고 구매 확정했어요 건빵베개는 언제 보내주시는 궁금해서요 언제쯤 받을 수 있나요?,p
뮙니까 시공하실 분들 오셨는데 연락도 안 받고 직접 전달로 며칠간 해놓고 송장 바로 확인하고 문자 주신 댔는데 연락도 없고 지금 뭐 하자는 건가요?,p
너무 좋아서 아이가 쓸 것도 구매해요 좋은 제품으로 보내주세요 혹시 언재출고되는지 알 수 있을까요?,p
두 번째 구매입니다.며칠 전에 같은 모델 구매 후 대단히 만족하여 재구매했어요 방금 주문했는데 물건 오늘 발송 가능한가요?,p
좋은 댓글에 기분 좋게 주문했습니다 주말 안에 배송 가능하겠지요?,p
고생이 많으신 것 같은데 언제쯤 배송이 원활하게 될까요?,p
여기 진짜 좋은 듯 4번째 구매요지금 샀는데 언제 도착할 꺼요?,p
어제 두 개 주문하고 오늘 하나 더 추가 주문했습니다 피스는 골고루 넣어주세요배송은 언제 출발하나요?,p
21일 입금 완료했는데 배송 중이라고 만나오고 배송추적이 안 되네요 언제쯤 받아볼 수 있나요?,p
"신속한 답변, 친철한 상담에 감사드립니다.만능 풀 바른 벽지 주문하면 출고 기준 5일 안에 작업하여야 한다고 설명하는 내용을 보았습니다. 주문하면 몇 일 만에 택배로 수령하는지요?",p
이쁘게 만들어서 보내주세 여 상담도 친절하시고 감사합니다 배송은 얼마나 걸리나요?,p
너무 친절한 안내 감 사드려요 자지퍼가 주문이라 더 오래 걸리는 건가요?,p
부족한 비즈번호와 필요 수량 남겨주시면 우편 발송해 드리도록 하겠습니다.,p
이렇게 일관성이 없으면 도대체 어떻게 구매를 하나요?,p
비즈가 모자란 게 있는데 어찌해야 데나요?,p
우선 이용에 불편드린 점 양해 부탁드리겠습니다. 부족한 비즈번호와 대략적인 필요 수량 확인해주시면 우편 발송해 드리도록 하겠습니다.,p
양해해주셔서 감사합니다 선물 받으신 분이 이쁘게 사용하셧으면 좋겠네요.,p
우와 친절하신 답변에 매우 감사함을 느끼며 재질문 드려요 석고보드 인지 콘트리트인지는 어떻게 알 수 있나요?,p
너무 편안해서 재구매하는데 이번에도 베개 커버 함께 보내주시나요?,p
네요청주 신부속 손잡이 방향 줄 길이 변경하여 접수도와 드리겠습니다 저희 제품 구입해주셔서 감사합니다고객님이 만족할 만한 이쁜 제품으로 보내드리겠습니다.,p
사이즈 문의 디자인이 맘에 들어꼭 여기서 구매하고 싶은데 사이즈 변경해서 주문 제작은 안 해주시는 거죠?,p
너무 이쁜데 우리 집은 벽걸이거든요 만들어줄 수도 있나여?,p
제품 너무 만족합니다. 퀸사이즈 접이식 혹시 방수 커버는 따로 없나요?,p
oooo M 오늘 제품 받고 너무 좋아서 바로 하나 더 구매합니다. 그런데 혹시 의 자천을 교체할 수 있게 구매 가능한가요?,p
어우 사장님은 좋은 것만 잘 골라주시네요,p
의자 이 뻐요 근데이거 원래 조립 설명서 없는 건가요?,p
수세미도 좋네요 근데.이불에서 나는.냄새는 환기 후 사용혀 야 하나요?,p
파인 코치메탈 그레이 잘 받았습니다 너무 맘에 듭니다 이 상품 물 세탁 가능한가요?,p
생각했던 것보다 밝아 아주 만족합니다. 제가 A02 제품을 구매했는데 색온도가 어떻게 되나요?,p
배송이 정말 빠르네요 처음 덮을 때 세탁 후에 덮어야 하나요?,p
매트리스 구매해서 잘 받았습니다. 궁금한 게 매트리스 위에 전기장판 사용해도 되나요?,p
아니 복사해서 붙여넣기만 하지 말고 내 문의 내역을 보고 답글을 달아줘요구매내역만 보고 답변하지 말고 매번 구구절절 다 적어줘야 제대로 하나요?,p
란 문자가 온다는 데 안 왔고 진행사항을 모르니 답답하네요. 언제 배송될까요?,p
오긴오는 걸까요?,p
이번에도 이상 없는 새 상품으로 안전하게 배송 부탁할게요 네시 이전 결제건은 당일 배송 맞죠?,p
답변 좀 주시죠?,p
이렇게 하루 그냥 또 날리는 건가요?,p
어제 답변에는 목요일 아니면 금요일에 보낸다고 하더니 오늘 답변에는 또 오늘 아니면 내일 보낸다고 하나요?,p
이거 어째야 하죠?,p
이게 말입니까?,p
토요일 설치하려고 멀리서 왔는데 이게 멉니까?,p
보내기나 한겨?,p
대체 언제 보내는 대?,p
업무를 장난으로 하는 것도 아니고 주문자에게 일일이 알려줘야 하는 거 아닙니까?,p
네 기사님께 사전에 말씀해 주시고 소정의 수고비를 다 주시면 됩니다 먼저 베려 해주셔서 감사합니다.,p
한 달 만에 물품을 배송받았는데 너무 예뻐서재주문할려니 이번엔 배송비가 있네요?,p
네요 청하신 샘플 석고 추가로 보내드리도록 하겠습니다.,p
나사를 안 보내주면 어쩌란 말입니까?,p
배송 너무 잘 받았습니다. 다음에 이사시 혹시 주의사항 있을까요?,p
시계가 너무 이뻐서 관심이 가는데 혹시 벽에는 어떻게 붙이는 건가요?,p
"거실 설치하고 너무 이뻐서 안방도 구매하려 합니다, 가로, 240인데 5장해야 하나요?",p
"재구매 문의요상품이 너무 마음에 들어서 재구매하려고 합니다, 가로 260 사이즈인데, 버티컬 1창으로 제작 가능한가요?",p
얼마에요?,p
가격 맘에 드네요,p
"전체 가격이 79,000인데 배보다 배꼽이 더 큰 것 같아요. 이래서야 대형 커버를 살 수 있을까요?",p
"판매자 쪽에서 화이트 커버 제작 안 해서 보내서 다시 반품시키는데, 추석이 껴 있다고 하지만, 왜 이렇게 반품을 안 가져가시나요?",p
색상이 되게 고급스럽네요,p
늘 하자 없는 제품 빠른 배송감사요 이번에도 잘 부탁드려요 그리 구 지난번 120구던가?,p
너무 만족스러워서 추가 주문합니다 오늘 밤에 주문했는데 담주 월요일까지 받을 수 잇을까요?,p
만족하고 너무 이쁘다고 하나 더 시키면 얼마쯤 걸릴까요?,p
오늘 발송하시나염? 궁금해서요 추운 신데 열일한다고 고생하십니다 화이팅,p
주문 상품 금일 발송됩니다. 따뜻한 말씀 감사합니다.,p
구매해서 굉장히 만족하며 쓰고 있는데 리프트가 내려갈 때 너무 확 내려가는데 방법이 없을까요?,p
"그렇다는 얘기는 수요일도 설치가 안 된다는 것이고 빨라야 목, 금요일 설치를 해주겠다는 건데, 지금 장난합니까?",n
불편을 드려 정말 죄송스럽게 생각합니다. 토요일에만 배송받으실 수 있다고 말씀하셔서 저희도 신경 써서 토요일로 일정을 잡아드렸었는데요 설치 기사님이 어떤 사유로 배송을 못해드린 건지 확인 후 시정조치하도록 하겠습니다.,n
불편드린 점 사과드리며 원목발판 조립 피스별도 택배 발송해드리겠습니다.,n
일주일 전에 해피콜이 왔는데 실측 시간이 오전에만 가능하다고 했더니 시간이 맞지 않다고 다시 연락한 다 더니 일주일째 아무 연락이 없습니다. 설치까지 한 달이 넘게 걸리나요?,n
상품이 품절이면 주문이 안 되게 했었어야 되는 거 아닌가요?,n
왜 그렇죠?,n
"택배사 분실 확인했고, 다음날 다시 배송해주겠다는 거 상품받을 생각 없으니 취소하겠다고 직원이랑 통화다 하고 바로 취소 처리해주시겠 다더니다른 택배사 통해서 보내는 이건 어찌된 건가요?",n
우선 불편을 드린 점 사과드립니다. 상품 문의 게시글에서는 취소 안내를 어떤 경로로 안내드렸는지 알 수가 없어 고객님의 주문 내역으로 주문자성함 수령자성함으로 확인하였으나 취소 안내를 드린 내역을 찾지 못했습니다.만약 어제 문의를 주셨다면 고객님께서 주문하신 엘리 LED 서랍형 침대 하이유로 탑매트리스 제품은 금일 주문 수집이 되어 어제는 주문 내역을 확인할 수 없었습니다.,n
안 된다는 건가요?,n
2개 주문했는데 품절 문자가 왓고 이미 송장번호가 입력되 있네요 무슨 상황이 죠 색상 변경하면 되는 거 아닌가요?,n
이거 너무 늦네요 책임배송 보상 적용 대상 적용해주시나요?,n
겉커버에 기름기 같은 자국이 있어서요 교환도 귀찮고 해서요겉커버 하나 서비스로 주심 안 될까요?,n
송장 추적하니 오늘 배달온다고 해서 기다렸더니 안 오고 배달 완료라고 떴네요 배달 기사분께 전화해보니 중간에 파손돼서 업체 측에 돌려줬다고 하는데 저한테는 연락도 없고 배달 완료라도 뜨는 건 뭔지도대체 언제 받을 수 있는 거죠?,n
물건이 안 왔어요 지금 환불 처리도 안 되고 이유가 뭔가요?,n
제품을 배송받고 모서리 보호대가 안 와서 상품평 올릴 때 부탁드린다고 글을 남겼는데 여태 소식이 없네요 모서리 보호대 보내주실 수 있나요?,n
"전 화상으로 기분 나쁘게 3시간 충전시켜야 된다, 어떻게 해달라는 거냐 그러면서 업체 잘못 아니다라고 하시는데 사과하시죠. 업체에서 잘못한 건 사과도 안 하나요?",n
반품 할께요 금요일 날 수거해 가도록 처리해 주실 수 있나요?,n
교환 안 해주시나요?,n
반품 원한다고 한 적 없는데요?,n
몸 무게도 60밖에 안 나가는데 이건 좀 아닌 거 같은데 AS이거 방석만 따로 보내야 하는 겁니까?,n
택배사에서는 집하가 안 되었다 하고 상담사는 택배사로 전화해서 확인하라는 건 무슨 경우 인가요?,n
A/S신청하고 지금 세 번째 글을 올리는 데도대체 어디에다가 연락을 해야 하나요?,n
"LED 스텐드 2개122,000주고 구입했는데, 무상A/S 기간 1년이 지났다고 직접 제조하지 않아 A/S 안 돼니새 제품으로 구입하라니 LED 조명은 전력 소비 및 5만 시간 어쩌 구하는 게 뻥인가여?",n
구매삼 개월 내는 AS 된다고 나와 잇던데요 교환 어렵다고 하고 답변 끝이면 깨진 건 어떻게 수리 하나요?,n
통화가 왜 이렇게 힘든가요?,n
매트리스의 추가 비용을요구하여 저희가 직접 올려 배송에서 매트리가 빠졌단 말이죠 배송비에서 매트리스 부분을 제외 후 받는 것이 맞는 거 아니냔 말이 죠 배송비가 비싼 이유는 운송 및 침대를 완벽하게 조립을 마치는 비용이라는 것에서 매트리스는 아예 올리지도 않고 침대도 완전히 만들지 않고 가셨단 말이죠 완벽히 해주시지 않은 부분은 빼야 맞 는 거 아닙니까?,n
한 번에 문의 못 드려 죄송해요 A/S는 어떻게 되는지요?,n
세상 어느 설치기사가 고객에게 박스 분리수거를 하라고 던지고 갑니까?,n
1층까지만 배달해주는 거진 짠가요?,n
배송기사 혼자 오셨던데 아저씨도 힘들고 여자 혼자 사는 집이었으면 구매 못하겠네요?,n
죄송한데 최소 핫한 잘못 사지는 않게끔 도와주셔야 하지 않나요?,n
저기요 16일에 결제했는데 언제 보내세요?,n
음료 교환 쿠폰은 전송받았는데 왜 상품권은 발송 안 해주시나요?,n
다른 사이트 가격이 비슷한데도 전구를 주던데 왜 안주죠?,n
어찌된 일인지 추후 할인되나요?,n
색상 선택이 왜 안 되죠?,n
우선 제품을 구매하시는데 혼선을 드려서 죄송합니다. 현재 저희 제품을 구매하시는 모든 분께 타이백 같은 사은품을 드린다는 것이 아니라 행사를 하는 제품에 따라 사은품 및 구성 가격이 달라집니다.,n
발 매트 증정 이랬는데 안 왔네요 안주는 건가요?,n
사은품은 왜 안 줘요?,n
전화를 받지도 않고 연락 오지도 않는데 모하자는 거죠?,n
해당 제품의 경우 쿠션 2개 제공이 되는 제품이 맞습니다. 다시 한번 불편을 드려 죄송하다는 말씀드리겠습니다.,n
쿠폰받기 안 돼요 왜 안 되나요?,n
저 혹시 댓글 확인 안 하시나요?,n
9월 10일 구매했는데 이마트 상품권 왜 안보내주시나요?,n
오안내 관련으로 불편드린 점 사과 말씀드립니다.,n
8월 6일에 행운권 당첨된 걸로 확인되는데도대체 언제 오는 건가요?,n
고객님께 불편을 드린 점 사과 말씀드리며 현재 이 부분을 개선하고자 노력하고 있습니다.,n
이제야 생각이 났는데 12/29일에 포토 후기 남겼었는데 왜 아직까지 상품권이 안 오죠?,n
리뷰에도 말씀드렸는데 확인 안 하신 것 같아서요. 어떻게 하나요?,n
리뷰 쓰기 왜 안 되나요?,n
부득이하게도 구분 적용은 어려운 점 양해 부탁드립니다. 만족스러운 답변 드리지 못해 죄송합니다.,n
불편드려서 죄송하구요 문자로 안내드린 내용대로 처리해드리겠습니다.,n
제품 오늘 받았는데 사은품 로러리필 신청했는데 왜 안 보냈습니까?,n
전체 상품 옵션2장으로 선택 시 낱장 2장으로 발송됩니다. 불편을 드려 대단히 죄송하며 전달해 주신 내용 참고하여 수정도와 드리겠습니다.,n
행사가 다르니 알아서 저렴한 걸 사라니요 그게 말이 되나요?,n
사은품 못 받았다고 문의 글 몇 번 남겼는데 왜 아직 인가요?,n
너무 잘 받았는데 사은품은 왜 안주세요?,n
답변이 늦어져 죄송합니다. 주문 감사드리며 주문하신 4폭을 세로 기장 230으로 2장으로 제작하겠습니다.,n
폴N 폴 라인데 폴라만 2개 왔어요 폴 폴라와야 되는 거 아닌가요?,n
의자 업그레이드 선택은 왜 없는 거죠?,n
저는 제가 상품 불량으로 인한 교환 건착 불배송비 4000원을 입금 안 해주시는 이유를 모르겠네요 아무 건의 없이 알겠다고 네네 하면 이런식 인겁니까?,n
답변도 없으시고 해서 계속 기다렸는데 블랙으로 배송 출발해 버렷네요 화이트로 교환원할 시 교환 배송비를 따로 내야 하나요?,n
판매처 실수로 배송비를 더 받아가신 건데 왜 제가 월요일까지 기다려서 환불을 받아야 하나요?,n
아니 택배사 대리점에 입고되서 배송되고 있는데 늦는 거라면 반품 택배비를 내겠지만 상품 접수만 된 채로 4일째 그대로 있써서 취소하는 건데 반품비 6000원을 내라니요?,n
"반품 비용 따로 결제했는데, 5천원 다시 결제해야 하나요?",n
번거롭게 반품하게 할 순 없자나요혹시 상품에 가격 붙어 있는 거 아니겠죠?,n
배송비를 보내야 환불 처리해 주신 다요?,n
무료 반품이라 적혀 있는데 반품 시택배비 부과는 뭐죠?,n
처음부터 제가 주문한 10M 짜리 발송했으면 늦게 왔건 일찍 왔건 상관없이 쓰던가 제가 배송비 물고 환불이라도 했을 텐데 판매자가 20M 짜리 보내놓고 환불한다니 왜 제가 배송비를 부담하죠?,n
배송비 눈물나지만 어쩔 수 없죠 대신 두 개 반품하는 거 묶음 배송으로 보내요이 경우 반품 배송비 3천원은 돌려주시는 건가요?,n
"낮 동안 통화 안 되고 오후 5시면 업무 종료라 하시고 시간만 끌다 이제 와서 받지도 않은 물건 배송비, 반품비 입금해야 취소 가능하다?",n
하나는 물건 보내지도 않고 반품 비 챙긴 거였어요?,n
매듭도 엉망진창이고 싸인 펜으로 찍 그은 거처럼 검은색 묻어 있는 게 있어 사진다 보내드렸고 환불 처리했는데 왜 배송비를 제가 내야 하나요?,n
이곳은 말만 하고 행동은 안 하시나 봐요 차액 보내준다는 말이 일주일이나 되어가는데 아직도라니 일부러 안보내 시나요?,n
받지도 못한 상품을 배송되었다고 1만5천원 배송비 입금해줘야 반품이 된다니 지금 장난합니까?,n
한 개는 따로 상품 재주문까지 했는데 사람을 무슨 사기꾼 취급하는 건지 본인 쪽에서 상품 불량 보낸 거 증거 없으니 내쪽에서 상품 훼손 비용을 내라고 하는 게 말이 되요?,n
네 배송비는 제가 부담하는 거 아니니 착불로 보내면 되는 거죠?,n
반품할 시 제품 하자로 반품한 걸 왜 단순 변심으로 배송비를 청구하죠?,n
다리 반품하려니 왕복 배송비 6천원이 결제하라고 하네요?,n
진짜 어이없는 업체 네 반품비 2만원을 달라는 게 말이야 똥이야? 방금 소비자센터 연락했고 이대로 넘기지 않을 테니까 그렇게 아세요,n
그쪽서 제대로 연결 안 하고 테스트도 안 해서 보내놓고 받은 사람이 제대로 테스트 안 해서 교환 처리한 거면 배송비 물라니 그게 말이 됩니까?,n
변심빈품이 아니고 상품이 잘못 온 거니 반품 배송비는 안내는 거 아닌가요?,n
환불 처리 왜 안 해줍니까?,n
지난주 금요일에 통화하구 토요일에 반품 회수해갔으니 늦어도 화요일엔 확인이 되었을 텐데 왜 부분 환불 입금이 안 되어 있나요?,n
"취소하려고 했더니 지연배송 사유로는 139,000원짜리를 124,000원 밖에 환불 안 해주네요?",n
3000원 동봉해서 넣어드렸으니 2000원만 입금하면 되지 않나요?,n
배송 중 찌그러져 와서 부품교환요청 드렸는데 왜 착불로 받아야 하나요?,n
상품이 하자 있어서 반품하는 건데 제가 반품 택배비 6천원까지 물아야 하나요?,n
이 밤에 문자받고 어이없어서 머그따구로 장사하세요?,n
반품하려고 하는데 택배비가 무슨 8000원이나 나오는 겨됴?,n
처음에 주문할 때 배송비 결재했는데 5000원이 라뇨?,n
이래도 내가 택비 부담에 반품해야 되요?,n
그림이 랑 글도 그렇게 써 있고 해서 차라리 전화로 문의를 주시지 싸게 산다고 인터넷 주문한 건데 배송비만 7500이면 저도 쫌 무료 교환해주시면 안 될까요?,n
2500원은 봉투에 넣어 착불로 반품해주시면 감사하겠습니다 이렇게 다른 곳도 해드리는데요.,n
동영상 찍어 달래서 보냇더니 본인이 목소리 더 크고 구매하고 처음은 택배비지불하고?,n
커텐이 불량이어서 반품했더니 물건 회수 후 검수도 안 해보고 불량 확인 못했다고 나 보고 반품비 6천원을 부담하라는 게 말이 된다고 생각하시는지요?,n
환불인데 왕복 택배비요?,n
저나 하니까 받지도 않으시고 교환해야 할 꺼 같은데 배송비는 그쪽에서 왕복으로 지불하시는 거죠?,n
장난하세요?,n
반품 시 배송비가 왜 15000원이 나오나요?,n
믹스로 레드/블랙 샀는데 아예 레드로만 보내셨네요 이거 교환도 제가 배송료 내야 함?,n
환불 금주 문하다가 취소 햇는데요 환불금언 재받나요?,n
정말 죄송 합지만 고객님께서 옵션 선택을 잘못하신 부분이라 저희도어쩔 수 없었습니다.,n
해서 아무 생각 없이 시키는 데로 반품 신청했더니 반품 비용이 청구?배송도 안 됐는데 수납장 두 점 각 6000원 합 12000 최초 취소요청했을 때 배송 진행이 안 된 상태인데 꼭 이렇게 배송비를 고개에게 뒤집어씌워서 장사합니까?,n
1대 1 문의를 남겨도 답이 없고 전화도 연결 안 되고 반품 신청한 지 일주일 다 돼가요배송비 미결제됐다고 반품 보류했던데 환불금에서 차감하시면 안 되나요?,n
제가 문의한 지 벌써 1달이 다 됐는데 잠수타시는 건지 저랑 연락하던 그분이 그만두신건지 번호를 바꾼 건지 지금 신발장이 엉뚱한 방안에서 1달째 방치되어 있는데 제가 문자를 8개나 더 보냈는데도 답변 하나 없는데 무작정 기다려야 하는 건가요?,n
계속 같은 위치에 있어요 영업점 연락도 안 되고 오늘 오는지 알 수 있을까요?,n
4개 보내주시는 거 아니였나요?,n
1+1이라더니 한 개만 왔네요?,n
사은품이 바뀌네 분명 제가 구입할 때는 1+1이였는데 어떻게 현수막으로 바뀌었어요?,n
쇼핑백이 하나도 없네요 쇼핑백 주시는 거 아닌가요?,n
5만원 이상 구매시장 갑 주시는 것으로 알고 있는데 상품 배송 받았는데 장갑이 없네요. 안주시는 건가요?,n
설치는 안 해주시나요?,n
설치는 안 해주시나요?,n
설치는 안 해주시나요?,n
지에 스 적립금 십 오만 원이던데 너무너무 아쉬워요 언제 또 적립금 딜뜰까요?,n
저기요 이 양반들아 아니드림 택배 파업이라고 천일택배로 배송한다고 공지 올려놨으면 천일택배로 보내면 되지 무슨 말도 안 되게 이 관 중이라고 말 같지도 않은 소리해 대고 있고 사람들 댓글보니깐 2개만 왔다 그러고 아주 난리도 아니네 아니 내 물건도 3일 전 새벽에 내가 거주하는 지역 영업소에 도착했는데 아직까지 배송 안 된다는 게 말이 되요?,n
주문할 때 수량이 있어서 주문을 한 건데 이제 와서 수량이 없다고 재입고되면 보내준다는 게 말이 됩니까?,n
지금 뭐 하시는 겁니까?,n
아진짜 배송요청에 집 앞까지 달라고요청까지 했는데 왜 연락도 없이 경비실에 맡기고 가나요?,n
진짜 최악택 배기사는 전화도 없이 문 앞에 두고 감일단 갖고 들어와서 박스 보니 대박 나는 무슨 중고거래한 줄 중고거래했어도 이것보단 낫겟다 싶을 정도임 아니 누가 뜯어본 것 마냥 테이핑은 다 뜯어져 있고 제대로 포장이 안 되 있었음 상자가 찌그러지고 모서리 부분 다 뜯어져 있음 거기서 개짜증 났는데 그래 뭐 그냥 그러려니 하자 하고 상품을 봤는데 진짜 웃음밖에 안 나옴다리 쪽 나사 넣는 부분 나무 깎 여져서 들려 있고 갈라져 있고 마감 처리가 덜 된 건지 실 같은 거 달랑 달랑나와 잇고 나사도 똑바로 안박혀 잇음나진짜 택배 많이 시켜 봤는데 중고거래에도 못 미칠 만한 포장과 상품은 처음 임아니 누가 쓰던 거보내준 건가?,n
방금 콜센터랑 전화했는데 배송 일정해피콜을 하루 전이나 당일 아침에 온다고 하면 혼자 사는 직장인은 어떻게 받으라는 말이에요?,n
3/12일에 배송 시작되었다고 하는 대언 제쯤받을 수 있을까여?택배기사님이 직접 배송해 주시나요?,n
주문자 번호랑 이름만 확인하시고 주소는 확인 안 하셨나요?,n
피스 챙겨주십사 코멘트에 남겼는데 피스는 안 왔네요 따로 보내주시나요?,n
이거 이렇게 앞에 스티로폼만 대서 보내주시면 또 깨질 것 같은데 완충재 같은 걸로 안 감싸시나요?,n
발송도 안 해놓고 운송장 번호 등록해 놓으면 어떡합니까?,n
"2월 14일 날 주문해서 2월 말에 이사 간다고 그렇게 부탁했는데, 전화와 서는 3월부터 순차적으로 배송할 예정이라고 해놓고는 오늘 또 전화와 서 3월 중후반이라니 장난합니까?",n
도 대체 전화할 수 있는 전화번호는 뭡니까 뭔놈의 회사가 물건 팔아쳐 먹으면서 배송이 따위로 하고 전화를 왜 안 받아요 도대체?,n
제품 좀 꼼꼼히 검수해서 보내주시지 번거롭게 이게 뭡니까?,n
제품 이용에 불편을 드린 점 죄송합니다. 암막 커튼은 제작기간 평일 기준 12일 소요되어 대기시간이 주말 포함하여 이주반 있습니다.,n
진짜 왜 한 달이 넘도록 배송이 안 되면 소비자가 먼저 문의하기 전에 양해를 구하던 지해야지 마냥 기달리는 소비자는 뭐가 됩니까?,n
제가 주소 바뀌어서요 두 번이나 기재했는데 문의 댓글에 답도 없고 이사 전 주소로 보내시면 그 물건은 누가 받죠?,n
저번에 알려주신 번호로 사진 보냈구요. 상품 보내기 전에 확인 안 하시나요?,n
위치 처음 말한 거에서 다른 위치로 변경했더니 짜증부리고 왜 고객이 쩔쩔매야 하나요?,n
앞서 배송 문제로 불편드린 점 진심으로 사과드리며 고객님의 주문건.금 일배송 예정 건으로 확인됩니다.,n
업무시간 5시 전에 전화하는 데도 통화가 안 되면 어쩌라는 건지요?,n
"며칠째 운송장 번호만 나와 있고, 실제로는 운송 중이 아니네요. 왜 이렇게 발송도 안 하고 운송장 번호만 등록 하나요?",n
자녀분이 많이 기다리고 있을 텐데 이용에 불편을 드려진심으로 사과드립니다.,n
"오늘 택배 올 것 같아서 하루 종일 기다렸는데, 연락도 없다가 이 시간에 경비실에 택배 있어요 라고 문자 하나 달랑 남기면 다인가요?",n
장난하시나요 꼼꼼히 보내주셔야 져솜만 보내주시면 어떻하죠?,n
문의 글들 보니 배송 관련 문제도 많은 거 같은데 주문 확인이나 답변도 없고 타사보다 가격이 많이 저렴해서 구매한 건데 판매 수확보로 랭킹 조작을 위한 상품인 거요?,n
주문 정보가 왜 확인이 안 되죠?,n
다시 한 번 이용에 불편을 드려 죄송하다는 말씀드립니다.,n
전화는 연결조차 되지도 않네요 무슨 경우 인가요?,n
물건을 왜 안보내지요?,n
알려주신 송장번호로 한 개가 왔다구요두 개 구매했는데요 그걸 여쭤 본 건데 택배사에 알아보라는 건 무슨 경우 인가요?,n
아니 이해가 좀 안 되서 그러는데 뭐가 이렇게까지 오래 걸리는 거에요?,n
몇일째 배송 준비 중이네요배송인 되는 거에요?,n
상품 결재했는데 확인이 안 되나요?,n
토요일 새벽에 배송해주신다고 전화하셨었는데 전화 못 받았더니 물건을 안 싣어서 이번 주 배송해준다고 하셨는데 배송기사님께 언제 배송되는 지 문자 보내도 답장이 없으시고 언제 배송되는 건가요?,n
구매 확정을 누르면 배송이 안 돼나요?,n
어제부터 운송장 번호는 보이는데 화물 추적은 왜 안 되나요?,n
"2월 14일 날 주문해서 2월 말에 이사 간다고 그렇게 부탁했는데, 전화와 서는 3월부터 순차적으로 배송할 예정이라고 해놓고는 오늘 또 전화와 서 3월 중후반이라니 장난합니까?",n
