,0,1
69,편백나무 오일도 잠자는 데 좋죠,p
70,가격 괜찮다,p
71,으흐흐 모닝 빵 있나요,p
72,네 너무 다 이쁘네요,p
73,아직 삼 년이 안 됐지요 사무실 들어가서 확인해 보고 정확히 말해 드릴게요,p
74,네.. 감사합니다,p
75,진짜 맛있다,p
76,감사해요,p
77,예쁘네요 저도 한 개만 주시겠어요?,p
78,아유 귀여워 십오 센티네 이거 주시겠어요?,p
79,맛있게 드세요. 고맙습니다,p
80,네 감사합니다,p
81,네 감사합니다,p
82,네 감사합니다,p
83,생일 케이크 살 때 좋겠어요,p
84,배달은 선물용으로 좋은데요,p
85,빵은 부담 없고 좋죠,p
86,네 너무 좋아요,p
87,그러니까 그게 다운 계약서 아니에요 받는 거는 내가 삼백 이 칠천삼백 을 건데,n
88,그러면 뭐 그 사람 급한 사람이 날짜가 촉박해서 사람은 딴 데를 한 거예요,n
89,마사지 받으면 일랑이 너무 좋던데 부드럽던데요 근데 독성이 있다면서요?,n
90,애완견은 아니고 <span class='violet_text'>애완묘거든요,n
91,그럼 어떻게 회원을 유지하나요?,n
92,그럼 무조건 백 개를 다 사야 돼요?,n
93,만 개 뭐 그래요. 대략 정도는 사셔야 돼요,n
94,공짜라니요. 무슨 공짜가 어딨습니까요. 예?,n
95,아니 그러니까 이만 원대인데 이쪽 지금 우리 사용했던 물건은 얼마예요,n
96,그러니까 이거는 정확히,n
97,천 원부터 제가 칠천 원까지 있다고 그랬는데 얼마짜리 드려요?,n
98,요즘 빵이 너무 비싸요,n
99,그렇습니다,n
100,좀 나중에 보시면 안 될까요?,n
101,그게 아니라 샘플을 돈 받고 팔면 되잖아요?,n
102,왜 안 해요? 어려운 거 아니잖아요,n
103,어렵지 않을 것 같은데,n
104,휴대폰 할인마트요 그 뒷골목 아,m
105,샤워 봉애 고정하는 거 그거 말씀하시는 거죠,m
106,네 보조 캠으로 끼우는 거 주세요,m
107,휴대성은 무선이 좋은데,m
108,근데 요즘은 전기 충전용 배터리가 좋아져서 작업하시기에는 좋아요,m
109,요즘 드릴도 무선 쓸만하잖아요,m
110,그럼 그냥 이걸로 할게요,m
111,네 알겠습니다,m
112,저희가 커팅 날이 몇 개 더 필요할 것 같아서,m
113,아 그러세요,m
114,다용도 칼날로 하신다고요,m
115,네,m
116,타카요,m
117,콘크리트용 타카 하고 목공용 타카요,m
118,에어 타카 말씀하시는 거죠,m
119,아네,m
120,바이오 실리콘 쓰시면 됩니다,m
121,열 개요,m
122,이백육십오 하나 이백칠십둘 이백칠십오 이백팔십 하나요,m
123,네 맞습니다,m
124,그릇 선반에 고정하는 거 그거 말씀하시는 거죠,m
125,네 보조 캠으로 끼우는 거 주세요,m
126,여기 있습니다,m
127,감사합니다 또 오세요,m
128,수건걸이요? 예 있죠,m
129,아 나머지는 화로 길이로 빠진다는 이야기죠?,m
130,네네 그러면 실제적으로 화로가 40 판짜리고요 거기서 3cm 정도가 밑으로 떨어져요. 그리고 그 20cm 합판이 떨어진다고 보시면 돼요,m
131,네 요기 요거 어떠세요?,m
132,아 그게 좋겠구나,m
133,네 요거 한 번 보시겠어요?,m
134,그거 괜찮을 것 같은데요,m
135,네 색상은 요거 마음에 드세요 하얀색?,m
136,아 저는 T자요,m
137,T자요?,m
138,내일모레 제가 찾으러 올게요,m
139,아 그래주시겠어요?,m
140,그러면 전화번호 여기다 적어주세요,m
141,네 전화번호 적어놓을게요,m
142,네,m
143,스무 개요,m
144,열시쯤에요,m
145,네네,m
146,열시쯤요?,m
147,네,m
148,아 그래요?,m
149,네,m
150,사장님 그거는 무슨 말씀이세요? 한 롤의 길이를 말씀하시는 거예요?,m
151,예 한 롤에 감겨있는 길이가 국내산 같은 경우는 인제 60메타 30메타 종류별로 있는데. 그 수입제품 저번에 보니까 우리나라 꺼보다는 적어요,m
152,어 비슷하다고 보심 돼요. 똑같은 거예요,m
153,그럼 17메타 감겨있다는 거죠 15메타 그게 한 롤에 네 평 하거든요,m
154,사장님이 좀 도와주세요. 저번에 보니까 잘 모르시더라고,m
155,아 그 사람이 아니고 다른 분. 제가 기계는 잡고 아줌마는 이제 저기 와가지고 제 보조로,m
156,그리고 뭐 식초 <span class='violet_text'>간장통 다 치워야 되고. 그렇죠? 아우 우리도 그거 하는데 만만치 않아. 그러면 사장님이 8시에 오시면 우리는 한 7시 반부터 그걸 된단 얘기야,m
157,안 그러면요 제가 뭐 저기 아들이나 하나 갖고 가갖고 짐 이거 치워가면서 하면 돼요,m
158,어 아오 또 아드님이 (웃음) 아르바이트해줄 계시는구나,m
159,예예 짐 치우고 할 때는 아들을 데리고 다니는 게 낫거든요,m
160,아 넉넉히 가져올게요,m
161,네 삼십 롤 정도 이렇게 갖고 오셔 가지고,m
162,어... 번호로 하는 게 좀 편할 것 같긴 해요,m
163,예 300미리로 하나하고,m
164,청,m
165,예에 예예,m
166,철 수세미 말고,m
167,예예,m
168,34평이거든요 평수가,m
169,예 근데?,m
170,일단 모자라면 제가 이따 저기하면 되니까,m
171,예예 40킬로짜리,m
172,화학 마대,m
173,예,m
174,그걸로 해가지고,m
175,최대한 빨리 좀 부탁드릴게요,m
176,마대가 모자라가지고,m
177,예,m
178,그다음에 경량 복음 제가 시켰으니까 다섯 개 둬 버리고. 여기서,m
179,예,m
180,라마 콘... 콘이오?,m
181,네,m
182,비티?,m
183,출비가. 그 고정하는 거,m
184,아웃 트리거?,m
185,예,m
186,아 예예 두 개?,m
187,40미터요?,m
188,예예,m
189,공간 많이 차지하지 않죠?,m
190,공간 활용도가 좋아요,m
191,욕실 선반이오?,m
192,네 욕실 선반 하나 달라고 하는데,m
193,샤워 봉애 고정하는 거 그거 말씀하시는 거죠,m
194,네 보조 캠으로 끼우는 거 주세요,m
195,차단기 삼십 암페어 두 개요,m
196,그리고 이백칠십오 하나,m
197,이백칠십오는 하나,m
198,안면 보호구는 두 개요,m
199,네,m
200,이 미터짜리 오,m
201,네,m
202,3박스 주시고요,m
203,예,m
204,네 <span class='violet_text'>한롤요,m
205,아 한 롤로 사시면 이만 원 빼줍니다,m
206,둘 다 볼 수 있어요,m
207,그래서 조정관리로 묶인 거죠,m
208,지금 4년은 살았아요,m
209,그럼 문제는 없겠네요,m
210,네 2년 살아야 하죠,m
211,"네, 2년 거주 안 하면 양도세를 전부 내셔야 해요",m
212,지금 더 알아보려고요,m
213,아 좀 머네요,m
214,네네 회사랑 가까운 곳으로 가려고요,m
215,"네 그리고, 사실 허가도 중요해요",m
216,아 그렇죠,m
217,네 거기 알아요,m
218,그쪽은 상가가 많이 없어서 월세가 싸요,m
219,다들 상가 많이 들어가나 봐요,m
220,"네, 지금 계속 공실이 빠지고 있어요",m
221,그렇죠,m
222,이것도 빨리 안 하면 공실 다 차요,m
223,아이파크 살고 있는데요,m
224,네,m
225,아 그래요?,m
226,"네, 일단 눈에 딱 띈다 하면, 그건 없을 확률이 높아요. 저희도 최대한 찾아보고 있으면 전화 한 번 드릴게요",m
227,"아, 월세요?",m
228,네 아직 방 좀 있나요?,m
229,이왕이면 큰 평수로 알아보러 왔습니다. 매매 좀 알 알보러 왔거든요,m
230,아 네 큰 평수는 한나도 없네,m
231,네 상관없이,m
232,아 나왔어요?,m
233,네 12억에,m
234,가고 역 쪽 아파트는 없으니까 글로 갈 생각은,m
235,네네,m
236,근데 이것도 올 사람이 있어요 우리가,m
237,올 사람 있으니까 내가 동시에 그냥 딱해줄 수 있어,m
238,네 동시에?,m
239,그럼 전세는 올 사람이 있어 매매는 순서대로 가야 된다,m
240,평촌으로 가고요?,m
241,네네 가야 되는 상황이에요,m
242,아 그런가요?,m
243,아까 그 집에서 한 5분 정도 거리에요,m
244,전세는 보통 한 달 기준으로 이사를 다니기 때문에,m
245,네,m
246,그거를 하는 집을 봐드릴게요. 굉장히 예쁘더라고요,m
247,연한 초도 좋은데 명품학교는 삼송 초등학교에요. 솔직히 말씀드리면,m
248,그럼 제가 물건을 빼가지고 할게요. 사장님한테 맞게,m
249,네,m
250,왜냐하면 지금 웬만한 곳은 다 가도 돼요. 사실은 4개 정도 보여드릴 그런데 그런 거 함부로 보여드렸다간 사장님은 우리 사무실에 영원히 안 올 것 같아 제가 보기에는 느낌에 제일 좋은 건만 몇 개 빼놓을게요. 월세도,m
251,네 반월 세 든 월세든 빼가지고 보고 보는 건 아내랑 같이 와서 왜냐하면 제가 눈하고 와이프가 다르니까,m
252,여자들이 봐야 해요,m
253,그러니까 최종적으로 와이프하고 이런 게 있는데 어떤 걸 볼까 대화가 되니까 그러고 나서 보는 낫지,m
254,주변에 아파트 좀 알아보러 왔거든요,m
255,아파트 알아보러 왔어요,m
256,네네,m
257,"7단지는 주인이 살고 싶어 한데요. 그러고 꼭대기고, 1층이고, 이거 있네요 6층. 동향이네요 그러니까 싸게 나왔지. 동남향이거든요",m
258,그럼 사장님 제가 내일이나 다시 올게요. 아들 데리러 가야 해가지고요,m
259,이걸로 생각하시면 되고요 사장님 내가 찾아가지고 문자 넣어 드리면 편하시겠죠 몇 번,m
260,oooo ,m
261,알겠습니다,m
262,ooo,m
263,들어가세요,m
264,요즘은 주인들이 거의 월세를 선호해서 전세가 많이 없어요,m
265,그런가요,m
266,동물 안된다고 하시는 주인들도 많아가지고,m
267,그렇죠. 싫어하시는 분들도 있는 거죠,m
268,그러면 그렇게 집이 많진 않지만 찾아볼게요,m
269,네 좋은 집 찾아주세요,m
270,그럼 이집 체크해두고 다른 집도 찾아볼게요,m
271,네,m
272,더 좁은 원룸은 아예 빼버렸어요,m
273,네,m
274,여기도 옵션은 다 있네요,m
275,이 지역이 더블 역세권이고 강남 가는데 안 머니까 전세 나오면 금방금방 빠지더라고요,m
276,저도 회사가 강남이라 여기서 보는 거예요,m
277,김치냉장고도 들어와야 하고요,m
278,뭐 여기는 다 들어와도 상관없을 크긴데요,m
279,거의 들 혼자 사시는 분들이라 그렇게 시끄럽진 않아요,m
280,아 그렇군요,m
281,식탁 이렇게 당겨서 사용하시면 되고요,m
282,다른 건 괜찮은데 부엌이 그렇네요,m
283,아무래도 아까 집하고 가격이 다르니까요,m
284,그래 그럼요 한번 저한테 전화를 주시면 언제 오겠다고 하면? 요기 아파트랑 인금에,m
285,괜찮은 아파트 보여드릴게요,m
286,직전보다 음식점은 조개 있고 고깃집 하나 조금 한 식당 아줌마 혼자 사는 그런 거를 뭐 곰장어 파는 곳이랑 또 닭집 치킨집 있는데 은근 오래 하는 거 보면은,m
287,손님들이 계속 꾸준히 있는 라인이구나,m
288,집 팔아서 삼억이요,m
289,네 집을 팔아야 삼억 정도 돼요,m
290,이쪽이 살짝 언덕인데 다닐 만은 해요,m
291,네 알고 있어요. 그 정도는 언덕도 아니죠,m
292,네 이쪽에 있는 상가 쪽 보여드릴게요,m
293,이 시점에 상가 오픈하는 건 좀 힘들 수 있는데 어떻게 생각을 하셨네요,m
294,네 이럴 때일수록 한번 해보는 것도 괜찮을 거 같아서요,m
295,삼십 평 정도면 되나요,m
296,아 그래요,m
297,네,m
298,그래요?,m
299,조금씩 낳아질듯해요,m
300,아마 조만간,m
301,경매로 넘어가는 건물이나 땅들도 많을듯해요,m
302,이월 다요?,m
303,그렇게나 높았어요?,m
304,네 GTX 들어온다고 해서 높았어요,m
305,그 정도면 에코 자이 가능합니다,m
306,가능해요?,m
307,네 신혼부부 시죠?,m
308,신혼부부 전세자금 대출받으시면 되는데,m
309,알죠. 근데 청약도 생각하다 보니 너무 무리하기가,m
310,그래도 신혼부부시면 아무래도 깨끗한 신축이 좋죠,m
311,일단 집에 볼 거라 말씀이시죠,m
312,안돼요?,m
313,좁은데 찾거든요,m
314,아 저 아는 언니가 40평대를 3억 대에 들어간 것 같아가지고,m
315,그때는 잘 사셨고요,m
316,그거는 왜 그렇게 하냐면 보고 비교를 하시고 가격대하고 판단을 하시라고요,m
317,네 저희도 아직 집이 안 나갔어요. 시간은 있어서,m
318,요새는 전세보다 매매가 낫다고 얘기를 들어가지고 그게 맞나요? 전세 매물도 없고 차라리 그럴 바엔 매매하라고 주위에서 다들 그러셔가지고,m
319,저희 부모님도 그렇고 저희가 이제 저도 약간 상가 임대 쪽 회사를 다니는데 직장 상사분들한테도 물어보면 야 그럴 거면 요새 같은 때 그냥 사 막 이러시더라고요,m
320,그렇죠 모르는 사람들 붙들고 있는 거지 그다음에 땅 개인 주택들도 지금 못 팔면 실질적 을지대 딱 들어와버리면 팔지도 못해,m
321,사람들은 그래 그 영화관 건물이 절대 장사가 안되는 거야,m
322,어 듣고 보니까 맞네. 그런 것 같네요,m
323,그 영화관 건물이 텅텅 비는 이유가 그래서 그런 거예요. 그런데 사람들은 분양할 때는 좋다고 비싸게 분양받아요,m
324,그렇죠 처음엔,m
325,그냥 뭐 부동산 올라가니까 주위 사람들이 야 너 집 못 산다. 산다는 소리가 주기적으로 10년 주기로 한 번씩 와요,m
326,지금이 그런 시기잖아요,m
327,그리고 그런 게 재테크에 애물단지야,m
328,아 그때 너무 급박한 상황이어서 그런 걸 신경 쓸 겨를이 없어가지고,m
329,주식이든 부동산이든 뭐든 간에 때를 잘 파야 되는 거예요. 지금 부동산 산다는 것은 내가 보기에는 대출 없이 살 수 있다. 자금이 있어서 그럼 사도 돼지 떨어지든 말든 내 좋은 곳 샀으니까 죽을 때까지 살면 또 오르니까 그런데 10억짜리를 사면서 5억 돈이다. 1억 떨어져도 잠 못 자지 어떻게 되겠어 2억 떨어지면 이 판단 말이야. 그래놓고는 평생 이제 자책하는 거,m
330,조언을 구해야 되는구나,m
331,조언을 구하면 그 사람은 자기가 분명히 한 번은 실패했을 거예요,m
332,두 번은 성공해도 한 실패 세 번 틀리고 번만 돈이 되는 거예요,m
333,그런데 세 번 투자해서 다 망한 거는 결국에는 사람이다,m
334,지금 21평이죠. 방 2개 거실,m
335,네,m
336,그게 정확히 언제인지 모른다는 말이지요?,m
337,그러지요 그러니 <span class='violet_text'>안전빵으로 나왔을 때 잡아 둬야 된다 이거지요,m
338,어차피 애들 많고 그런 거는 바라지 않고,m
339,제 손으로 만들어야지 하는 생각은 해요,m
340,삼송지구도 괜찮은데요,m
341,초등은 학교마다 천에서 천삼백 명씩은 있거든요?,m
342,중등도 칠백 정도씩은 있는 곳이거든요?,m
343,백마보다는 덜 치열해요,m
344,아까 그기도 규모는 괜찮은 거 같긴 해요,m
345,네,m
346,너무 힘드셔가지고 여기가 초등학교 천삼백 동산고 칠백인가 천인가 있어요,m
347,그기 바로 앞이거든요,m
348,그러면 백마랑 삼송이랑 생각을 더해보고 다시 연락드릴게요,m
349,베란다 청소 다 해 놨어요,m
350,네 아 저희가 전화기가 안 돌려져서 바로 전화드릴게요,m
351,네,m
352,3%대,m
353,그러니까 실질적으로 은행 이자나 월에 임대료나 비슷한 거죠,m
354,그거는 3%에서 4%대,m
355,네 한 3%라고 생각하시면 돼요,m
356,그렇죠 그래서 실제로 고객님처럼,m
357,사용하고 싶은 분들이 많이 여쭤보시거든요 왜냐면 분양가가 저렴하니까,m
358,네네네,m
359,그렇죠 ktx가 들어오죠,m
360,물론 지금은 임대를 할지 실거주로 명확하게 결론을 내리지 않은 상태 이긴 하지만,m
361,여기 같은 경우는 5년 뒤에 ktx가 들어오고 4호선이랑 수인선이 이미 계통 되어있잖아요,m
362,그렇죠 이미 결정도 나있고 계통도 돼있고,m
363,신안산선 <span class='violet_text'>월곳판교선 서해선 그렇게 ktx가 5년 내에 다 계통이 될 예정이거든요,m
364,그렇죠,m
365,고속도로도 좋고 전철도 시내버스만 안 좋지,m
366,여기가 안산 자체가 저평가 되어있는 곳인 건 맞는데 사실 주식도 마찬가지잖아요 저점일 때 사가지고 가장 올랐을 파는 게 시세차익을 노릴 수 있고 그때가 매도시점인데 여기는 지금 사야 되는 때인 거죠 왜냐면 아직 가격이 오르기 전이고 시점이니까,m
367,그러긴 하네요 전철도 개통되어 있고,m
368,그렇죠,m
369,수원하고 연결되는 것도 괜찮고,m
370,그렇죠,m
371,6억 초반 정도 해요 그렇기 때문에 이 단계 그다음 단계로 갈 수 있는 준비 단계인 것 같아요,m
372,그럼 지금 당장 매매는 좀 그렇고 제가 내년도쯤 생각하고 있는데 일단 전세,m
373,재산세 같은 거 내고하면은,m
374,아 그래요? 전세는 재산세가 없죠,m
375,전세는 내 집이 아니니까. 재산세는 조금씩 오를 거고 갖고 있는 사람들 세금으로,m
376,저희도 집 없어요 전세로 다니지 차라리,m
377,입주 금액은 실제적으로 가지고 있는 건 현금성은 칠천에서 팔천 사이되고 한 일억 정도까지 되기도 해요,m
378,전원주택은 대출이 많이 안 나오거든요,m
379,아시는 분들은 여기가 의정부 사람이 아니고는 살기 힘들다고 하더라고요,m
380,네 그렇습니다,m
381,만기 되었다고 집주인이 보증금 다 빼주지도 않아요,m
382,그러니깐. 집주인이랑 먼저 얘기를 해보세요,m
383,서울 집 우리가 다시 들어간다고 하면 10년을 거주하고 나오면 또 거주해야 하죠,m
384,거주기간이 10년이 이면 또 안 해도 돼요,m
385,법이 너무 바뀌어서,m
386,계속 바뀌지,m
387,내년부터는 양도세가 비싸져서,m
388,강화되었죠,m
389,21년도부터는 더 강화돼요,m
390,그렇죠 21년 6월부터 양도소득세가 강화되나요,m
391,근데 내년 6월부터는 1년 미만은 70%,m
392,아 1년 미만은 다르네요,m
393,2년 미만은 60% 세금 내용,m
394,엄청 많이 내네요,m
395,시세차로 생긴 이익은 세금으로 다 가져가는 거지,m
396,만기가 되었다고 집주인이 다 전세금 빼줄 건지 먼저 확인하세요,m
397,구입해서,m
398,네,m
399,전세 들어오는 날 등기를 하고,m
400,아파트가?,m
401,아뇨 빌라요,m
402,빌라가? 그 단독들이?,m
403,네 그쪽으로 알아봐 주시고요,m
404,우선 집에 가서 더 확인해 볼게요,m
405,그러세요,m
406,여기 보정동에 oo 부동산이에요,m
407,고가 밑에서 장판하시는 거 맞죠,m
408,네네 맞아요,m
409,거기 넣어드린 부동산이에요,m
410,내 재정상태를 파악하는 게 제일 중요해요,m
411,복잡하구나,m
412,재정에 맞게  투자를 해야죠,m
413,의정부 그린벨트 얘기하는 사람도 있어요,m
414,곧 풀린다고,m
415,샀는데 안 풀려,m
416,그린벨트는 별로네요,m
417,내 생애 안될 수도 있어요,m
418,제가 생각할 때는 공용 사무 센터 이런데 들어갈까 했는데,m
419,아 같이 쓰는 거,m
420,아니면 그냥 집 가까운데 구할까도 했었고,m
421,쇼핑몰 1인 창업하는 사람이 많거든요,m
422,양지에서 모여서 할까도 했었죠,m
423,그러고 있다가 대형 푸르지오 들어왔잖아,m
424,그때 <span class='violet_text'>엄창 뛰었지,m
425,아 그럼 이쪽으로는,m
426,돈 벌어먹고살려면,m
427,우리도 나중에 회천 갈까 해요,m
428,여기 시끄럽지,m
429,나중에 회천 시끄럽지,m
430,아 이쪽에서는 알 수가 없다는 말씀이신 거죠?,m
431,이 인터넷으로 찾아볼 수밖에는 없어요,m
432,안 내놓는 분도 있고 여러 군데 이러니까,m
433,아 그렇구나,m
434,조금 바쁘시면 저기 000부동산이라고 그쪽에 물건이 좀 있을 거예요,m
435,그래요? 그럼 거기로 가서 알아보겠습니다,m
436,지금 이사 가셔서,m
437,바로 들어오실 수 있으세요,m
438,그렇구나 깨끗하네요,m
439,네 깨끗해요,m
440,벌레 약은 입주자가 사야 해요?,m
441,삼 개월 주기로 경비 아저씨가 주신다네요,m
442,이왕 온 거 육층도 보시는 거가 좋죠?,m
443,네 봐야 줘,m
444,여기 가격이 많이 올랐어,m
445,아 많이 오른 것 같아요,m
446,그러게 엄청 많이 올랐어,m
447,그때 팔려 했어,m
448,팔고 갔으면은,m
449,후회했지,m
450,맞아 덕분에 잘 살고 있어요,m
451,얼마나 잘 됐어?,m
452,그때 부동산 바꾸면서 안 팔았거든요,m
453,얼마나 잘 됐어,m
454,지금 너무 감사드려요,m
455,그러니까 마음 잘못 먹었으면 우리 집 와서 나한테 전화 안 했으면,m
456,그때 제가,m
457,1억이 도망갔잖아,m
458,그때 제가 전화로 문의하고,m
459,우리 집에서 안 했으면 팔았으면 오후 그쪽에서 사도 얼마나 배 아파,m
460,맞죠 너무 속상할뻔했어요 감사해요 진짜,m
461,그쪽에 그쪽으로 나 줘,m
462,뭐라는 줄 알아요 세입자가?,m
463,호텔 같데요,m
464,그러니까 싹 고쳤으니까,m
465,네 호텔 같다고 너무 좋아하는 거예요 그리고 저희가 불만 수리 사항 있으면 바로바로 해주니까,m
466,세입자도 잘 만났어요,m
467,그쪽도 좋고 우리도 거기서도 한 달 기다려 줬잖아요,m
468,그래도 그대 그렇게 계약한 게 어딘데,m
469,거기도 덕분에 좀 잘 됐고,m
470,왜냐면 다른 사람으로 바뀌니까 시세대로 할 수도 있고,m
471,근데 남편한테 얘기하는 게 그거 받아봐야 빚이잖아,m
472,조금은 그렇지,m
473,근데 그러면 안 되더라고,m
474,2년짜리 적금을 넣는 거야 그니까 받는 날 올려 딱 넣어놔 그 사람이 그걸 나갈 때 빼서 주면 되잖아요,m
475,빼서 주던지 아니면 그 사람은 또 올려서 받잖아요 그러면 그거 묶어서 2년짜리를 넣어놔,m
476,그니까 그렇게 2년 정기적금을 넣는 거예요,m
477,그러면 그날 바로 뽑을 수가 있잖아요,m
478,그래가지고 만기 날짜에 맞춰서 뽑고 뽑아서 가지고 그 사람 내주던지 아니면은 다시 합쳐서 또 정기적금하던지,m
479,그러면은 얼마나 더 붙지 2년 동안,m
480,아 그런가 그런 거 계산을 안 해봐서,m
481,그래도 저금으로 넣으면 5천만 원 까지는,m
482,근데 돈이 목돈이 있으면 깨지더라고,m
483,통장에 넣어두니까 깨지지,m
484,남편이 가만히 안 둬,m
485,그니까 저금통장은 없다고 내 돈 아니라고 생각하고 <span class='violet_text'>넣놔야해 그게 더 이상 못 올릴 수가 있잖아요 이렇게 묶이는 경우가 있거든 그때 아예 그거를 했으면 좋았을 텐데,m
486,그니까 가면서 왜 임대 사업자 내라고 했잖아,m
487,근데 안 내고 그냥 가버렸잖아,m
488,아파트는 임대 사업자를 안 내줘요,m
489,음 그럼 그때 내줬으면,m
490,얘는 팔 거 아니지 들어와서 살 거지,m
491,아 팔 수도 있어요,m
492,그러면 임대 사업자 했으면 4년이나 10년 정도 보고,m
493,나중에 쟤 팔 때는 되고 얘 합산같이 안되고 혜택이 많은데,m
494,그니까 그렇게 금방 바뀔지 몰라서 그때 바로 내고 가셨어야 해,m
495,어떻게 될지 몰라서 다시 올까 봐 했죠 그때 했으면 좋았는데 진짜,m
496,그때 하셨으면 진짜 좋았는데 어쨌든 많이 올랐으니까 다행이지,m
497,그니까 금액이 양도 차이가 작은 것부터 팔아야지 아무래도 세금을 작게 내니까,m
498,뭐 부동산도 다녀야 정보가 있어,m
499,그러니까 코로나 이러고 하니까 갈 데도 없고,m
500,많이 외로웠어요 처음에 남편은 회사라도 가는데 저는 하루 종일 집에만 있잖아요,m
501,맞아요 아니면 문화센터라도 가야 되는데 그것도 못하잖아 이제,m
502,나오기 전에 1년 전쯤이면 2천만 원이면 살 수 있는 갭이 나오고 나서는 1억 넘게 차이나 고 지금은 2억 이상은 차이 나고,m
503,아 여기 갭투자하려면요? 근데 여기가 솔직히 세가 싸요,m
504,근데 노후주택이어서 할 수 없어,m
505,아,m
506,가격은 띄는데 세는 그렇게 안 띄거든 그 주변에 비교해서 평수를 보면 노후가 돼버렸잖아 안에 가 그러니까 올라가기가 쉽지가 않거든,m
507,여기가 계속 띈다는 얘기가 많더라고요 발전이 계속된다고 서울숲도 들어온다는 있던데 코엑스도 들어오고,m
508,내 가게 면 관심 있었을 텐데,m
509,그렇지 내 가게였으면 관심 있었을 텐데 그리고 <span class='violet_text'>이사계획이있어서,m
510,근데 성격이 좋으셔서 차분차분하게 잘하셨어 되게 서포트를 잘해주시는 것 같아요 덜렁 덜렁거리셔 보이시는데 꼼꼼하다는 얘기는 들었는데 꼭 톤이,m
511,잘하시니까 사장님도 뭐 일 거의 혼자서 다하시니까 사무실 있는 사람은 아무나 들어와도 상관이 없고,m
512,근데 마음이 맞아야지,m
513,마음은 맞추면 되자,m
514,가신다니까 아쉽네요 뭐 맞기면은 되게 좋았는데,m
515,사장님한테 맞기면 되어,m
516,그래도 편하잖아 아니 연배도 저랑 많이 차이 안 날 것 같아요,m
517,75? 75면 저보다 9살이나 적네,m
518,헐 되게 동안이시다,m
519,66년생이에요,m
520,되게 동안이에요,m
521,아냐아냐,m
